iter	RMSE
0	74114.04398
1	69525.20236
2	65232.69232
3	61767.0436
4	58290.17643
5	55139.54896
6	52470.03272
7	49813.989
8	47563.54327
9	45625.50247
10	43691.44134
11	41955.69721
12	40203.8742
13	38762.9791
14	37208.81994
15	35998.31552
16	34759.54166
17	33878.93409
18	32893.62782
19	31991.38796
20	31158.58833
21	30482.72804
22	29694.74588
23	28961.66175
24	28334.22595
25	27753.38264
26	27212.41835
27	26768.36709
28	26231.05878
29	25849.85152
30	25449.75552
31	25108.17646
32	24849.06699
33	24465.72934
34	24211.61674
35	23871.60574
36	23523.10024
37	23297.09851
38	23035.59593
39	22758.2227
40	22477.09869
41	22308.14522
42	22138.23371
43	21885.6849
44	21679.74312
45	21457.34971
46	21305.46737
47	21123.3932
48	20967.56768
49	20792.95453
50	20630.67352
51	20539.60814
52	20397.64991
53	20258.84013
54	20011.77449
55	19869.17131
56	19728.62738
57	19583.52376
58	19428.36227
59	19340.3186
60	19222.32724
61	19134.69959
62	19081.85582
63	19017.7155
64	18949.71054
65	18828.08305
66	18715.28708
67	18655.18833
68	18525.00137
69	18436.15454
70	18384.425
71	18293.26699
72	18222.24051
73	18130.53085
74	18009.41017
75	17908.64357
76	17830.64941
77	17767.00677
78	17731.33432
79	17643.47293
80	17571.98962
81	17499.84523
82	17433.1671
83	17346.18771
84	17273.66628
85	17231.46046
86	17106.62836
87	16983.80536
88	16865.75101
89	16809.27048
90	16736.17158
91	16650.2172
92	16581.84345
93	16505.10516
94	16422.20539
95	16382.24357
96	16271.86406
97	16234.62305
98	16197.20351
99	16128.38351
100	16032.43664
101	15929.09407
102	15900.1278
103	15795.88413
104	15736.13796
105	15650.96143
106	15606.07696
107	15519.45293
108	15463.98417
109	15374.59219
110	15314.0763
111	15255.72633
112	15167.08284
113	15129.376
114	15084.54588
115	15059.12911
116	14990.17524
117	14931.25943
118	14891.5354
119	14859.3901
120	14781.60835
121	14730.12466
122	14687.65318
123	14602.44633
124	14577.20402
125	14533.72687
126	14522.9076
127	14479.27585
128	14465.75518
129	14427.36794
130	14415.64868
131	14339.3101
132	14280.88137
133	14260.30052
134	14186.91097
135	14113.18346
136	14071.49393
137	14002.24031
138	13945.22043
139	13929.26803
140	13878.7302
141	13848.42482
142	13790.0261
143	13730.76211
144	13675.0232
145	13623.11196
146	13558.72085
147	13518.09528
148	13477.22721
149	13473.788
150	13420.95631
151	13362.64458
152	13292.10978
153	13232.39836
154	13182.97277
155	13147.67222
156	13091.32188
157	13085.76943
158	13078.99694
159	13030.60582
160	12977.2422
161	12970.42849
162	12924.16568
163	12883.96964
164	12828.28088
165	12822.03985
166	12783.44315
167	12720.28737
168	12678.25667
169	12670.96355
170	12617.96198
171	12580.52775
172	12525.16252
173	12472.29429
174	12392.7588
175	12358.20882
176	12319.84926
177	12314.48108
178	12270.55038
179	12230.48194
180	12193.54223
181	12127.97522
182	12114.80086
183	12083.74743
184	12060.53571
185	12020.83691
186	11975.35176
187	11936.37381
188	11902.84621
189	11890.77112
190	11851.6329
191	11817.1003
192	11801.18625
193	11794.13215
194	11742.22646
195	11700.53693
196	11667.05003
197	11630.30508
198	11593.98315
199	11561.24286
