iter	Passed	Remaining
0	4	960
1	7	762
2	9	618
3	10	535
4	12	486
5	14	461
6	15	439
7	17	416
8	19	405
9	20	393
10	22	379
11	23	371
12	25	361
13	26	354
14	28	345
15	29	340
16	31	334
17	32	326
18	33	317
19	34	310
20	35	304
21	36	299
22	38	293
23	39	288
24	40	284
25	41	279
26	42	275
27	44	271
28	45	267
29	46	264
30	47	260
31	48	256
32	50	253
33	51	251
34	52	248
35	54	246
36	55	244
37	56	242
38	58	240
39	59	238
40	60	236
41	62	233
42	63	231
43	64	228
44	65	226
45	66	223
46	68	221
47	69	219
48	70	217
49	71	215
50	72	213
51	74	210
52	75	208
53	76	206
54	77	205
55	79	203
56	80	201
57	81	199
58	82	196
59	83	195
60	85	194
61	86	192
62	87	191
63	89	189
64	90	188
65	92	187
66	93	185
67	94	184
68	96	182
69	97	180
70	98	179
71	99	177
72	101	175
73	102	174
74	103	172
75	105	171
76	106	169
77	107	168
78	108	166
79	110	165
80	111	163
81	112	161
82	113	160
83	114	158
84	115	156
85	116	155
86	118	153
87	119	151
88	120	150
89	121	148
90	122	146
91	124	145
92	125	144
93	126	142
94	127	140
95	128	139
96	129	137
97	131	136
98	132	135
99	133	133
100	135	132
101	136	131
102	137	129
103	139	128
104	140	127
105	141	125
106	142	124
107	144	122
108	145	121
109	146	119
110	147	118
111	149	117
112	150	115
113	151	114
114	153	113
115	154	111
116	155	110
117	157	109
118	158	107
119	159	106
120	160	104
121	161	103
122	162	102
123	164	100
124	165	99
125	166	97
126	167	96
127	168	94
128	169	93
129	171	92
130	172	90
131	173	89
132	174	87
133	175	86
134	176	85
135	178	83
136	179	82
137	180	81
138	181	79
139	182	78
140	183	76
141	184	75
142	186	74
143	187	72
144	188	71
145	189	70
146	190	68
147	191	67
148	193	66
149	194	64
150	196	63
151	198	62
152	199	61
153	201	60
154	202	58
155	204	57
156	205	56
157	206	54
158	208	53
159	209	52
160	210	51
161	212	49
162	213	48
163	214	47
164	216	45
165	217	44
166	218	43
167	220	41
168	221	40
169	223	39
170	224	38
171	226	36
172	228	35
173	229	34
174	230	32
175	232	31
176	234	30
177	235	29
178	237	27
179	239	26
180	241	25
181	242	23
182	244	22
183	246	21
184	248	20
185	249	18
186	251	17
187	253	16
188	255	14
189	256	13
190	258	12
191	260	10
192	261	9
193	262	8
194	264	6
195	265	5
196	266	4
197	267	2
198	269	1
199	270	0
